iter	Passed	Remaining
0	140	140145
1	141	70692
2	143	47656
3	146	36382
4	147	29315
5	148	24565
6	149	21194
7	150	18663
8	151	16676
9	152	15103
10	154	13901
11	155	12817
12	156	11887
13	157	11082
14	158	10385
15	164	10089
16	164	9518
17	165	9015
18	165	8565
19	166	8155
20	167	7789
21	167	7455
22	169	7191
23	169	6909
24	170	6650
25	171	6407
26	171	6192
27	172	5988
28	173	5792
29	174	5634
30	175	5480
31	175	5320
32	176	5171
33	177	5029
34	177	4903
35	178	4777
36	179	4659
37	179	4547
38	180	4439
39	180	4337
40	181	4243
41	182	4151
42	182	4063
43	183	3988
44	184	3906
45	184	3828
46	185	3764
47	186	3693
48	186	3624
49	187	3559
50	187	3497
51	188	3438
52	189	3381
53	189	3325
54	190	3270
55	190	3218
56	191	3167
57	192	3118
58	192	3070
59	193	3027
60	193	2982
61	194	2939
62	195	2901
63	195	2862
64	196	2822
65	196	2784
66	197	2756
67	198	2720
68	198	2684
69	199	2650
70	200	2617
71	200	2585
72	201	2553
73	201	2522
74	202	2495
75	203	2473
76	204	2446
77	204	2419
78	205	2393
79	205	2366
80	206	2340
81	206	2313
82	207	2289
83	207	2265
84	208	2242
85	208	2218
86	209	2198
87	210	2177
88	210	2155
89	211	2134
90	211	2113
91	213	2102
92	213	2082
93	214	2063
94	214	2044
95	215	2025
96	215	2007
97	216	1989
98	216	1973
99	217	1956
100	218	1942
101	219	1928
102	219	1914
103	220	1898
104	220	1883
105	221	1867
106	221	1852
107	222	1836
108	222	1822
109	223	1807
110	224	1795
111	224	1782
112	225	1768
113	225	1755
114	226	1740
115	226	1727
116	227	1714
117	227	1703
118	228	1689
119	228	1676
120	229	1665
121	229	1653
122	230	1642
123	231	1632
124	231	1622
125	232	1610
126	232	1598
127	233	1590
128	233	1579
129	234	1569
130	235	1559
131	235	1548
132	236	1538
133	236	1528
134	237	1519
135	237	1509
136	238	1500
137	238	1492
138	239	1481
139	239	1472
140	240	1463
141	240	1454
142	241	1446
143	241	1437
144	242	1432
145	243	1424
146	243	1415
147	244	1409
148	245	1402
149	246	1395
150	246	1387
151	247	1379
152	247	1371
153	248	1364
154	249	1357
155	249	1350
156	250	1342
157	250	1335
158	251	1327
159	251	1320
160	252	1313
161	252	1307
162	253	1300
163	253	1294
164	254	1287
165	254	1280
166	255	1273
167	255	1267
168	256	1261
169	257	1258
170	258	1252
171	259	1247
172	259	1241
173	260	1236
174	260	1230
175	261	1224
176	261	1218
177	262	1212
178	262	1206
179	263	1201
180	264	1195
181	264	1189
182	265	1184
183	265	1178
184	266	1172
185	266	1167
186	267	1162
187	267	1156
188	268	1151
189	268	1146
190	269	1140
191	269	1135
192	270	1130
193	270	1125
194	271	1120
195	272	1118
196	273	1113
197	273	1108
198	274	1104
199	274	1099
200	275	1094
201	275	1090
202	276	1085
203	277	1081
204	277	1077
205	278	1073
206	279	1068
207	279	1064
208	280	1059
209	280	1055
210	281	1051
211	281	1047
212	282	1042
213	282	1038
214	283	1034
215	283	1029
216	284	1025
217	284	1021
218	285	1017
219	285	1012
220	286	1008
221	286	1004
222	288	1003
223	288	999
224	289	996
225	289	992
226	290	988
227	290	984
228	291	980
229	291	976
230	292	972
231	292	969
232	293	966
233	294	962
234	294	958
235	294	954
236	295	951
237	296	948
238	296	944
